trajectory_Id,half,total_active_time,total_inactive_time
589,first,27.991,89.762
589,second,36.672000000000004,76.455
590,first,20.028000000000002,23.422
590,second,0.0,43.908
591,first,9.826,29.821
591,second,13.339,23.396
592,first,12.452,10.563
592,second,17.999,4.063
593,first,15.05,13.907
593,second,4.635,25.57
595,first,22.981,3.309
595,second,7.168,22.535
598,first,12.006,5.390000000000001
598,second,13.933,4.035
600,first,23.011000000000003,9.427
600,second,22.271,10.819
601,first,38.834,4.502000000000001
601,second,31.095000000000002,12.312000000000001
602,first,29.153000000000002,18.002000000000002
602,second,23.399,22.107
603,first,9.911,0.005
603,second,0.0,10.739
604,first,22.001,4.423
604,second,25.354,1.4620000000000002
605,first,19.941,4.855
605,second,9.797,16.645
606,first,16.228,5.271
606,second,11.971,9.633000000000001
607,first,24.119,2.68
607,second,24.744,3.717
608,first,10.356,26.664
608,second,0.0,38.418
609,first,10.193,47.169000000000004
609,second,3.975,54.2
610,first,10.045,5.194
610,second,0.0,16.895
611,first,10.081,21.17
611,second,0.0,31.761
612,first,30.987000000000002,29.494
612,second,0.0,65.272
613,first,16.618000000000002,77.78
613,second,0.0,95.479
614,first,10.017,19.798000000000002
614,second,0.0,30.96
616,first,9.886000000000001,27.065
616,second,9.802,25.798000000000002
618,first,10.179,2.5490000000000004
618,second,0.0,13.523000000000001
620,first,9.977,2.327
620,second,0.0,13.426
622,first,9.637,3.7190000000000003
622,second,0.0,14.434000000000001
623,first,9.958,34.442
623,second,20.531,26.658
624,first,25.548000000000002,3.9610000000000003
624,second,7.876,29.336000000000002
625,first,19.6,11.537
625,second,0.0,34.58
626,first,20.077,31.309
626,second,0.0,54.749
627,first,10.024000000000001,17.454
627,second,0.0,28.002
628,first,38.003,0.97
628,second,5.223,38.13
629,first,9.829,6.956
629,second,0.0,18.342
630,first,9.762,65.223
630,second,0.0,76.015
632,first,9.704,23.074
632,second,0.0,34.335
633,first,19.794,48.17
633,second,0.0,71.099
634,first,9.828000000000001,7.7860000000000005
634,second,0.0,18.339000000000002
636,first,9.978,30.296
636,second,0.0,39.844
637,first,9.931000000000001,15.222000000000001
637,second,0.0,27.495
638,first,17.643,2.043
638,second,4.844,20.896
639,first,0.772,0.0
639,second,1.691,0.0
640,first,10.05,7.027
640,second,0.0,18.503
641,first,25.832,16.126
641,second,9.897,34.706
642,first,20.088,20.766000000000002
642,second,9.601,32.277
643,first,13.287,30.060000000000002
643,second,16.73,26.626
644,first,48.656,9.685
644,second,25.804000000000002,34.851
645,first,26.118000000000002,22.979
645,second,0.508,50.713
646,first,20.122,22.041
