,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
865,53,2,1,0,249.97,6
866,53,2,2,0.63,175.71,4
867,53,2,3,0.13,115.63,5
868,53,2,4,0,178.92,4
870,53,3,1,0.54,187.39,10
871,53,3,2,0.23,161.85,5
872,53,3,3,0.04,58.93,3
873,53,3,4,0.14,74.82,3
875,53,4,1,0.6,58.27,1
876,53,4,2,0.09,180.16,7
877,53,4,3,0.17,176.4,10
878,53,4,4,0.26,119.73,4
880,54,1,1,0.72,225.99,4
881,54,1,2,0,224.06,3
882,54,1,3,0.01,82.11,1
883,54,1,4,13.09,11.17,0
885,54,2,1,0,235.97,7
886,54,2,2,0.19,191.88,6
887,54,2,3,0,121.72,3
888,54,2,4,2.61,77.46,4
890,54,3,1,0.91,219.35,6
891,54,3,2,0,64.85,1
892,54,3,3,0,205.51,5
893,54,3,4,1.79,158.42,5
895,54,4,1,0.58,71.96,1
896,54,4,2,0.64,199.72,4
897,54,4,3,0,115.47,2
898,54,4,4,14.82,221.38,3
900,55,1,1,0.02,65.12,2
901,55,1,2,0,241.55,6
902,55,1,3,0,111.13,3
903,55,1,4,0,150.29,4
905,55,2,1,0.07,231.5,3
906,55,2,2,0.09,74.98,2
907,55,2,3,0.03,216.14,5
908,55,2,4,0.03,294.75,5
910,55,3,1,0.76,147.8,3
911,55,3,2,0,98.87,4
912,55,3,3,0.32,100.44,4
913,55,3,4,0.92,152.77,5
915,55,4,1,0.9,238.6,6
916,55,4,2,4.66,476.2,12
917,55,4,3,3.54,206.27,3
918,55,4,4,7.54,167.62,5
920,56,1,1,0.54,116.35,1
921,56,1,2,0,142.22,1
922,56,1,3,0.01,245.16,3
923,56,1,4,0,118.76,2
925,56,2,1,0,183.11,2
926,56,2,2,0,78.92,1
927,56,2,3,0,166.49,1
928,56,2,4,0,163.31,1
930,56,3,1,0.37,191.3,1
931,56,3,2,0.61,183.93,1
932,56,3,3,0.03,58.63,1
933,56,3,4,0.05,71.28,1
